t_minus_t0_M,NRHybSur3dq8_CCE_delta_h20_real_over_nu,NRHybSur3dq8_CCE_delta_h20_imag_over_nu,NRHybSur3dq8_CCE_perturbative_delta_h20_real_over_nu,NRHybSur3dq8_CCE_perturbative_delta_h20_imag_over_nu,SEOBNRv5EHM_delta_h20_real_over_nu,SEOBNRv5EHM_delta_h20_imag_over_nu,NRHybSur3dq8_CCE_delta_h30_real_over_nu,NRHybSur3dq8_CCE_delta_h30_imag_over_nu,SEOBNRv5EHM_delta_h30_real_over_nu,SEOBNRv5EHM_delta_h30_imag_over_nu
38500.0,7.473033463115402e-05,0.0,7.470224807661453e-05,-5.671076269847994e-30,7.469249760883425e-05,-1.5973525077997567e-30,0.0,4.172310394842822e-09,3.549874073494553e-30,3.997974350813087e-09
38901.0,7.551957434394767e-05,0.0,7.549114375287856e-05,-9.142462453911207e-30,7.548128854755537e-05,-1.2603960088242952e-30,0.0,4.216652034515208e-09,-1.3312027775604574e-30,4.040498616929504e-09
39400.0,7.650305645489817e-05,0.0,7.647315336399441e-05,-1.006616198108003e-29,7.646316831921859e-05,-9.600341568716144e-31,0.0,4.271923044993294e-09,-3.106139814307734e-30,4.0934308925082275e-09
39785.0,7.726270246875345e-05,0.0,7.72310559697082e-05,-5.8774766009584154e-30,7.722097116606297e-05,-1.0812438839710499e-30,0.0,4.314631628010575e-09,4.437342591868191e-31,4.134280604939498e-09
40300.0,7.827898354213054e-05,0.0,7.824520047228955e-05,-6.765598804841343e-30,7.823498287606364e-05,-9.123166735084505e-31,0.0,4.3717919895166645e-09,3.106139814307734e-30,4.188942679969688e-09
40669.0,7.900679896414157e-05,0.0,7.897207036223413e-05,-7.646944383711071e-30,7.896175771640249e-05,-1.0103722113394066e-30,0.0,4.41274949589836e-09,-7.987216665362745e-30,4.228129087269511e-09
41200.0,8.0053398624572e-05,0.0,8.001839170169329e-05,-1.0758565106013191e-29,8.000794243089443e-05,-2.246039489661043e-31,0.0,4.471691005123166e-09,-5.32481111024183e-30,4.284557806049522e-09
41553.0,8.074870234523993e-05,0.0,8.071418992713856e-05,-9.746630714393653e-30,8.070364955053245e-05,-9.342965742622112e-31,0.0,4.510870798586544e-09,-9.762153702110021e-30,4.322097403763075e-09
42080.0,8.178651784937377e-05,0.0,8.175328829535439e-05,-6.647552691042145e-30,8.174261161559961e-05,-3.983915641745895e-31,0.0,4.569353345253696e-09,0.0,4.378173850001361e-09
42438.0,8.249195571221127e-05,0.0,8.24593903244572e-05,-7.240955537277824e-30,8.244862064386462e-05,-2.827644801198427e-31,0.0,4.609079796329746e-09,3.106139814307734e-30,4.416285013237583e-09
42980.0,8.356100333092365e-05,0.0,8.352875139926482e-05,-7.347948883101002e-30,8.351784054883955e-05,4.416627641275983e-32,0.0,4.6692311370038845e-09,0.0,4.4739991185835345e-09
43322.0,8.423619781852867e-05,0.0,8.4203728988131e-05,-5.40521243073011e-30,8.419272881218229e-05,-3.6394980856364155e-32,0.0,4.707200413556526e-09,3.106139814307734e-30,4.510426093156203e-09
43880.0,8.533883556194484e-05,0.0,8.5305364718892e-05,-1.6014100357332347e-30,8.529421865680298e-05,5.91458251985122e-31,0.0,4.769218485284688e-09,1.7749370367472766e-30,4.569879852024885e-09
44206.0,8.598345240160708e-05,0.0,8.594917740242971e-05,1.2273454374075175e-30,8.593794599085577e-05,3.204101878479262e-31,0.0,4.80550701823547e-09,-9.318419442923202e-30,4.604633396527532e-09
44780.0,8.71187047358792e-05,0.0,8.708312852492184e-05,7.564150688810635e-30,8.707174706586423e-05,5.452053096191823e-31,0.0,4.869508748170592e-09,-2.662405555120915e-30,4.665866895109403e-09
45090.0,8.773194235857872e-05,0.0,8.769573604430964e-05,1.0344781733508452e-29,8.768427351321935e-05,5.527162494949644e-31,0.0,4.904110993257587e-09,-5.768545369428649e-30,4.698960962557903e-09
45680.0,8.889932397702699e-05,0.0,8.886204391429533e-05,1.0734770825677667e-29,8.885042753751002e-05,-7.698438429989982e-32,0.0,4.969976695150735e-09,2.2186712959340957e-30,4.7619833539544895e-09
45974.0,8.948108249362815e-05,0.0,8.9443406028002e-05,1.0971498684919123e-29,8.943171306236954e-05,1.15895062522461e-31,0.0,5.002781796996243e-09,-3.993608332681372e-30,4.7934011268215886e-09
46560.0,9.064061204181991e-05,0.0,9.060254225001054e-05,9.250955603525114e-30,9.059069713408745e-05,1.5161202287979637e-31,0.0,5.068120976382374e-09,4.437342591868191e-31,4.856040921170644e-09
46858.0,9.1230210063385e-05,0.0,9.119218825636558e-05,1.0704073323636546e-29,9.118026583241812e-05,1.1759951349584806e-31,0.0,5.101331744744511e-09,8.874685183736383e-31,4.887903327816116e-09
47460.0,9.242096153658035e-05,0.0,9.238373854028996e-05,1.2590841508859933e-29,9.237166000779503e-05,3.823398356993558e-32,0.0,5.1684592349955446e-09,3.549874073494553e-30,4.952294499004369e-09
47742.0,9.297875154925614e-05,0.0,9.294208460454156e-05,1.2694516690872917e-29,9.292993276192002e-05,1.7887519874422586e-31,0.0,5.199939316496295e-09,-3.993608332681372e-30,4.98247281843009e-09
48360.0,9.420208623068301e-05,0.0,9.416609173062844e-05,7.43168522771974e-30,9.41537785765368e-05,4.605118584139796e-31,0.0,5.2690156304243985e-09,-2.662405555120915e-30,5.048654682576769e-09
48626.0,9.472920341670814e-05,0.0,9.469309813298501e-05,3.7779103270268675e-30,9.468071512722456e-05,6.361566698419416e-31,0.0,5.298780725301692e-09,1.7749370367472766e-30,5.077160481581553e-09
49260.0,9.598714607170688e-05,0.0,9.594960453956118e-05,-4.678326331672235e-32,9.593705454744576e-05,6.8365030306265355e-31,0.0,5.369773998694456e-09,3.549874073494553e-30,5.1451444746078536e-09
49511.0,9.64857435637862e-05,0.0,9.644721338638454e-05,-5.704768658163142e-31,9.643459703686486e-05,6.864010470871231e-31,0.0,5.397885302259785e-09,8.874685183736383e-31,5.172070524389701e-09
50140.0,9.773564764176752e-05,0.0,9.769460509920284e-05,3.511676878179716e-30,9.768182275993892e-05,1.0182452140040858e-30,0.0,5.468345050471524e-09,-5.32481111024183e-30,5.23956579199044e-09
50395.0,9.82421494921615e-05,0.0,9.820046574567335e-05,3.0266924891189444e-30,9.818761618405226e-05,9.175020921910922e-31,0.0,5.496922679164792e-09,3.993608332681372e-30,5.266936140620085e-09
51040.0,9.952229856000278e-05,0.0,9.948041056191798e-05,6.95952423826267e-30,9.946739177382658e-05,1.0061437204833544e-30,0.0,5.569246029222614e-09,-5.32481111024183e-30,5.336192778278542e-09
51279.0,9.999636696544846e-05,0.0,9.99548358838095e-05,9.562369758320567e-30,9.994175458674575e-05,1.327070003964474e-30,0.0,5.59605676688446e-09,1.7749370367472766e-30,5.361869204208606e-09
51940.0,0.00010130762921406857,0.0,0.00010126737559933696,1.2786598718118516e-29,0.00010125412189792507,1.309617442796615e-30,0.0,5.670222301678697e-09,-8.430950924549564e-30,5.432929857914346e-09
52163.0,0.00010175027559985117,0.0,0.00010171032545797317,1.027238204049447e-29,0.00010169701361181709,7.92193860424193e-31,0.0,5.69524531233061e-09,-4.437342591868191e-31,5.456920394378912e-09
52840.0,0.00010309549432570004,0.0,0.00010305550331076955,7.849956984854073e-30,0.00010304201487140227,9.287276970379033e-31,0.0,5.771226092169978e-09,-3.549874073494553e-30,5.529794259552972e-09
