t_over_M,linear_h20_real_over_nu_M_over_R,linear_h20_imag_over_nu_M_over_R,delta_hD20_real_over_nu_M_over_R,delta_hD20_imag_over_nu_M_over_R,delta_hS20_real_over_nu_M_over_R,delta_hS20_imag_over_nu_M_over_R,nonlinear_null_total_h20_real_over_nu_M_over_R,nonlinear_null_total_h20_imag_over_nu_M_over_R,total_h20_real_over_nu_M_over_R,total_h20_imag_over_nu_M_over_R,linear_h30_real_over_nu_M_over_R,linear_h30_imag_over_nu_M_over_R,delta_hD30_real_over_nu_M_over_R,delta_hD30_imag_over_nu_M_over_R,delta_hS30_real_over_nu_M_over_R,delta_hS30_imag_over_nu_M_over_R,nonlinear_null_total_h30_real_over_nu_M_over_R,nonlinear_null_total_h30_imag_over_nu_M_over_R,total_h30_real_over_nu_M_over_R,total_h30_imag_over_nu_M_over_R
-1980.0,-0.01220632077858496,-4.406423207378805e-05,-2.4489071889205885e-15,-1.550374198174394e-35,1.7093013442425598e-33,-6.897605771903207e-15,-2.4489071889205885e-15,-6.897605771903207e-15,-0.01220632077858741,-4.406423208068565e-05,0.0006005838624199757,-2.8758272502737645e-09,1.1005070353651002e-16,1.7857730493016876e-35,4.6431859843242996e-33,-6.801910725699157e-17,1.1005070353651002e-16,-6.801910725699157e-17,0.0006005838624200858,-2.8758273182928717e-09
-1979.5,-0.012209273775556913,-4.405667811733377e-05,-2.5127703555623047e-15,-1.5664568167004911e-35,-1.2338277595722389e-33,-5.116103226287055e-15,-2.5127703555623047e-15,-5.116103226287055e-15,-0.012209273775559427,-4.4056678122449876e-05,0.0006007239908251495,-2.8827967778763744e-09,1.1289085843410071e-16,1.7086248848594805e-35,-6.532754371361504e-35,-2.384963426759138e-16,1.1289085843410071e-16,-2.384963426759138e-16,0.0006007239908252624,-2.882797016372717e-09
-1979.0,-0.012212222156566336,-4.4056461053327244e-05,-2.576381084454096e-15,-2.01898049948318e-35,4.166479804489571e-33,-2.8199789267956382e-15,-2.576381084454096e-15,-2.8199789267956382e-15,-0.012212222156568912,-4.405646105614722e-05,0.0006008621117836706,-1.5420304307544805e-09,1.156857462788861e-16,1.8075206351873806e-35,2.233050288898891e-32,-4.2166130052238147e-16,1.1568574627888613e-16,-4.2166130052238147e-16,0.0006008621117837863,-1.542030852415781e-09
-1978.5,-0.01221516454589186,-4.406493947804648e-05,-2.6396875951196936e-15,-1.9616013814492462e-35,-3.813649438677829e-33,-2.490165796562895e-16,-2.6396875951196936e-15,-2.490165796562895e-16,-0.0122151645458945,-4.4064939478295496e-05,0.0006009985807061584,1.1295730028421103e-09,1.184425582945832e-16,1.7154032554840624e-35,1.5634853362931133e-32,-5.97200998854286e-16,1.1844255829458322e-16,-5.97200998854286e-16,0.0006009985807062768,1.1295724056411114e-09
-1978.0,-0.012218100300044537,-4.408256862406361e-05,-2.7026816720299218e-15,-2.760967444359928e-35,-7.333941228226595e-35,2.3222569657591214e-15,-2.7026816720299218e-15,2.3222569657591214e-15,-0.01221810030004724,-4.408256862174135e-05,0.0006011339374077668,4.980962167570359e-09,1.2117267535513432e-16,1.4802554847546107e-35,-2.5804379766877942e-33,-7.465149389417056e-16,1.2117267535513432e-16,-7.465149389417056e-16,0.000601133937407888,4.98096142105542e-09
-1977.5,-0.012221029485976143,-4.4108845266639836e-05,-2.7653937041477185e-15,-4.7121373049968134e-35,-3.232788967450639e-33,4.615529454309422e-15,-2.7653937041477185e-15,4.615529454309422e-15,-0.012221029485978908,-4.4108845262024306e-05,0.0006012688482090128,9.746738294984323e-09,1.2388984525903693e-16,1.6331271144858282e-35,1.2590959604425994e-33,-8.540341043592005e-16,1.2388984525903693e-16,-8.540341043592005e-16,0.0006012688482091367,9.746737440950218e-09
-1977.0,-0.012223952786692334,-4.414235755397129e-05,-2.827882775312573e-15,-8.654653530614495e-35,-1.2151847577105704e-33,6.381091033104179e-15,-2.827882775312573e-15,6.381091033104179e-15,-0.012223952786695162,-4.41423575475902e-05,0.0006014040304063348,1.506758315756836e-08,1.2660828034847917e-16,2.0727860111654792e-35,2.4112334754937092e-32,-9.079893642547208e-16,1.266082803484792e-16,-9.079893642547208e-16,0.0006014040304064615,1.5067582249578995e-08
-1976.5,-0.012226871350315617,-4.4180935966605e-05,-2.8902238706044993e-15,-9.228263296079162e-35,-1.7299473132463908e-33,7.427619524884989e-15,-2.8902238706044993e-15,7.427619524884989e-15,-0.012226871350318507,-4.4180935959177384e-05,0.000601540165224958,2.0510056297046945e-08,1.29340927169975e-16,2.1114706192429186e-35,1.0524821960087367e-32,-9.008013853221224e-16,1.29340927169975e-16,-9.008013853221224e-16,0.0006015401652250873,2.051005539624556e-08
-1976.0,-0.012229786603700308,-4.422188997338979e-05,-2.9524944552855802e-15,-9.219116415831929e-35,-2.944669847770308e-33,7.64552103094159e-15,-2.9524944552855802e-15,7.64552103094159e-15,-0.01222978660370326,-4.422188996574427e-05,0.0006016778083871987,2.5587852058657663e-08,1.3209805261210505e-16,1.8319625128998758e-35,-1.6294908073471527e-33,-8.293339787295496e-16,1.3209805261210505e-16,-8.293339787295496e-16,0.0006016778083873307,2.5587851229323685e-08
-1975.5,-0.012232700055111047,-4.426230484396842e-05,-3.0147625141382137e-15,-1.560239797094253e-34,-4.2983674870812086e-33,7.020712409632759e-15,-3.0147625141382137e-15,7.020712409632759e-15,-0.012232700055114062,-4.426230483694771e-05,0.0006018173099148166,2.9788630642962974e-08,1.3488619831617162e-16,1.9686471152225303e-35,1.9849096230041508e-32,-6.951935683744248e-16,1.3488619831617164e-16,-6.951935683744248e-16,0.0006018173099149515,2.9788629947769405e-08
