t_minus_t0_M,NRHybSur3dq8_CCE_energy_radiated_over_M,SEOBNRv5EHM_energy_radiated_over_M,NRHybSur3dq8_CCE_angular_momentum_z_radiated_over_M2,SEOBNRv5EHM_angular_momentum_z_radiated_over_M2,NRHybSur3dq8_CCE_planar_momentum_over_M,SEOBNRv5EHM_planar_momentum_over_M
45090.0,1.0519415008685165e-05,1.0517700176145803e-05,0.0056984020693601175,0.0056974566888730645,4.954976787630817e-09,4.954115122927671e-09
45680.0,1.0659316945002465e-05,1.0657579108181942e-05,0.005773816805212616,0.005772858809902191,6.852499484357835e-09,6.850599570520501e-09
45974.0,1.0729052970948613e-05,1.0727303678723016e-05,0.005811404697848154,0.005810440416765613,7.063402391139648e-09,7.06154143465141e-09
46560.0,1.0868094615156957e-05,1.086632254882242e-05,0.00588634133530237,0.005885364540892804,5.949583891472899e-09,5.9475009381191365e-09
46858.0,1.093882430071676e-05,1.0937040659893238e-05,0.005924457511279696,0.005923474352662181,4.682917586454422e-09,4.681159190110459e-09
47460.0,1.108175406843301e-05,1.1079947051333794e-05,0.006001474721986091,0.006000478704584435,1.1686533897411101e-09,1.1677190151689304e-09
47742.0,1.1148729222485006e-05,1.1146911232181414e-05,0.006037560577267336,0.006036558527386848,6.85398791237043e-10,6.857767678305078e-10
48360.0,1.1295552243694224e-05,1.1293710125175868e-05,0.006116660269401364,0.0061156449739042384,4.3901014870506025e-09,4.389272929440117e-09
48626.0,1.1358768103720146e-05,1.13569155485763e-05,0.006150714003561779,0.006149692990237545,5.611732168462661e-09,5.610638053163224e-09
49260.0,1.1509489467555125e-05,1.1507611974975629e-05,0.0062318980757172255,0.006230863416360402,7.057662530998172e-09,7.0556008494202545e-09
49511.0,1.1569178996310928e-05,1.1567291600379822e-05,0.006264045944914235,0.006263005872666054,6.9743142302575995e-09,6.972429721395926e-09
50140.0,1.1718806992850267e-05,1.1716894813146577e-05,0.006344625576183717,0.006343571951525447,5.170423177060898e-09,5.168451064082631e-09
50395.0,1.1779486333066206e-05,1.1777564113506474e-05,0.006377300264189935,0.006376241147190091,3.893961558243672e-09,3.892397044398195e-09
