t_minus_t0_M,qnm_delta_hD20_real_over_abs_A220_squared_M_over_R,qnm_delta_hD20_imag_over_abs_A220_squared_M_over_R,qnm_delta_hS20_real_over_abs_A220_squared_M_over_R,qnm_delta_hS20_imag_over_abs_A220_squared_M_over_R,qnm_delta_hD30_real_over_abs_A220_squared_M_over_R,qnm_delta_hD30_imag_over_abs_A220_squared_M_over_R,qnm_delta_hS30_real_over_abs_A220_squared_M_over_R,qnm_delta_hS30_imag_over_abs_A220_squared_M_over_R,analytic_delta_hD20_real_over_abs_A220_squared_M_over_R,analytic_delta_hD20_imag_over_abs_A220_squared_M_over_R,analytic_delta_hS20_real_over_abs_A220_squared_M_over_R,analytic_delta_hS20_imag_over_abs_A220_squared_M_over_R,analytic_delta_hD30_real_over_abs_A220_squared_M_over_R,analytic_delta_hD30_imag_over_abs_A220_squared_M_over_R,analytic_delta_hS30_real_over_abs_A220_squared_M_over_R,analytic_delta_hS30_imag_over_abs_A220_squared_M_over_R
1.71875,0.019336297613760576,2.7852910742658647e-22,-8.228351291722716e-21,-0.016172784639850623,0.0033770256177717206,-5.413801973486408e-21,-1.7327474159881186e-20,-0.0027913805218973986,0.01933623341649768,5.193407082609488e-19,-9.015010479656891e-22,-0.016172784639850665,0.003377014405914846,3.0273055049306467e-22,-6.2118999985141835e-21,-0.0027913805218973973
1.7578125,0.019716354472702462,-4.243567181693274e-21,-1.4505549267652779e-21,-0.016490662335640286,0.00344340139324299,-4.965997150572983e-21,-4.0000136697145866e-20,-0.0028462453845745648,0.019716289013635962,5.295484017007648e-19,-9.192201410137215e-22,-0.016490662335640317,0.0034433899610159494,3.0868074966895367e-22,-6.333995512797967e-21,-0.0028462453845745687
1.796875,0.020094019989280128,8.85528283974884e-21,-4.556098631465508e-20,-0.016806539924386223,0.0035093595280373236,-5.30940562125198e-21,-4.329059755531899e-20,-0.0029007650339834064,0.02009395327634937,5.396918676725339e-19,-9.368277443810262e-22,-0.016806539924386257,0.0035093478768267006,3.14593509806367e-22,-6.4553227942004905e-21,-0.002900765033983409
1.8359375,0.020469309209974564,1.5711111952578882e-20,2.3599445985886706e-20,-0.017120429990891427,0.0035749026499769026,-6.656304215456392e-21,-6.284286545008222e-21,-0.0029549416422281457,0.020469241251068943,5.497715102996441e-19,-9.543245595678953e-22,-0.017120429990891504,0.0035748907811605562,3.2046906647415898e-22,-6.575886676492783e-21,-0.002954941642228154
1.875,0.020842237086593326,1.5045317875821316e-20,3.779226217930255e-20,-0.017432345040774632,0.00364003337034948,-7.976810805287396e-21,-4.5174243036535904e-20,-0.003008777367746021,0.0208421678895526,5.597877311627121e-19,-9.71711283660732e-22,-0.017432345040774677,0.0036400212852965995,3.2630765375896913e-22,-6.6956919630314716e-21,-0.0030087773677460183
1.9140625,0.021212818476866232,1.358256596463199e-20,-2.845378043637612e-20,-0.0177422975009682,0.003704754284012417,-9.050227480406025e-21,-3.2576210143787764e-20,-0.0030622743553931913,0.02121274804948082,5.697409293155835e-19,-9.889886093598282e-22,-0.017742297500968243,0.003704741984083576,3.321095042745489e-22,-6.814743426950158e-21,-0.0030622743553931926
1.953125,0.021581068145037293,1.7704700641656645e-20,3.589440640844193e-21,-0.018050299720213568,0.0037690679694960655,-9.16390832766518e-21,-2.4797048165833233e-20,-0.0031154347365302893,0.021580996495048604,5.796315013012319e-19,-1.0061572250069616e-21,-0.018050299720213606,0.0037690554560432777,3.378748491710289e-22,-6.93304581134958e-21,-0.003115434736530292
1.9921875,0.021947000762452953,2.588001873792973e-20,-1.2647091563622925e-20,-0.01835636396955305,0.003832976989106495,-8.820014887419829e-21,-1.8529621139807284e-20,-0.0031682606291072693,0.021946927897553696,5.894598411675561e-19,-1.023217814612817e-21,-0.01835636396955308,0.003832964263473269,3.4360391814412834e-22,-7.050603829486565e-21,-0.0031682606291072706
2.03125,0.022310630908146584,2.8819584753036047e-20,2.494014357252396e-20,-0.018660502442818756,0.003896483889027583,-7.538759530818576e-21,-3.28711728875981e-20,-0.0032207541377478025,0.022310556835981054,5.992263404830802e-19,-1.0401710578842401e-21,-0.0186605024428188,0.0038964709525489707,3.492969394443057e-22,-7.167422164961836e-21,-0.0032207541377478064
2.0703125,0.022671973069419347,3.034035133373079e-20,-4.234309146212174e-20,-0.018962727257118478,0.00395959119942245,-5.7207358462799835e-21,-4.87894608925747e-20,-0.0032729173538331557,0.022671897797583728,6.0893138835255395e-19,-1.0570176302513182e-21,-0.0189627272571185,0.003959578053425103,3.549541398858529e-22,-7.283505471906597e-21,-0.003272917353833149
2.109375,0.02303104164241735,3.12276477605152e-20,-2.7009115777067464e-20,-0.019263050453318283,0.004022301434534267,-4.905296535103737e-21,-3.009734362937756e-20,-0.0033247523555854416,0.023030965178460056,6.185753714324548e-19,-1.0737582028942888e-21,-0.01926305045331831,0.004022288080336492,3.605757448559321e-22,-7.398858375167947e-21,-0.003324752355585443
2.1484375,0.023387850932705234,3.213399895253316e-20,-1.5184231563757533e-20,-0.0195614839965224,0.004084617092786427,-4.4490252131994094e-21,1.35724265825722e-20,-0.003376261208150518,0.02338777328412717,6.281586739463922e-19,-1.0903934427702776e-21,-0.019561483996522428,0.004084603531698233,3.6616197832355424e-22,-7.513485470493156e-21,-0.003376261208150519
2.1875,0.023742415155836097,3.213005262654547e-20,-7.296714243869923e-21,-0.01985803977654983,0.004146540656882075,-4.26273746093305e-21,-3.3272574568307364e-20,-0.0034274459636801854,0.02374233633009097,6.376816777004167e-19,-1.1069240126398758e-21,-0.019858039776549864,0.004146526890205232,3.7171306284850305e-22,-7.627391324712754e-21,-0.003427445963680183
2.2265625,0.024094748437917847,3.3296108458946127e-20,-1.8882749480754403e-20,-0.02015272960840805,0.004208074593903034,-4.471069116202009e-21,-8.58665934539409e-21,-0.0034783086614139677,0.024094668442412467,6.471447620982294e-19,-1.12335057109354e-21,-0.020152729608408096,0.004208060622931118,3.7722921959020167e-22,-7.740580475922478e-21,-0.0034783086614139664
2.265625,0.024444864816176012,3.556117691415949e-20,-1.1024698613991971e-20,-0.020445565232763804,0.004269221355408084,-4.8433327292336784e-21,-4.972025112803767e-20,-0.0035288513277603726,0.024444783658270595,6.565483041562993e-19,-1.1396737725778343e-21,-0.02044556523276383,0.004269207181426532,3.827106683165238e-22,-7.853057433664065e-21,-0.0035288513277603726
2.3046875,0.024792778239512998,3.4962666668740067e-20,1.0269105052200937e-20,-0.020736558316410685,0.00432998337753064,-5.005477937679626e-21,-3.422950633209964e-20,-0.003579075976377613,0.024792695926521436,6.658926785188836e-19,-1.1558942674215015e-21,-0.020736558316410723,0.004329969001816804,3.881576274125495e-22,-7.964826679104932e-21,-0.003579075976377613
2.34375,0.025138502569063796,3.4698982699976476e-20,-3.5177578302698056e-20,-0.021025720452734178,0.004390363081075808,-4.807826775576775e-21,-3.5044527404224003e-20,-0.003628984608253826,0.025138419108253967,6.751782574729527e-19,-1.172012701861375e-21,-0.021025720452734216,0.004390348504899,3.935703138892655e-22,-8.075892665216698e-21,-0.0036289846082538297
